level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean	dropped
line	NCIH889	USE_909	1	0.2492051148457599	0.0	RRAGC	22		25.94	True
line	SNU16	USE_6841	7	0.3967791622826815	0.0	SLC1A2	74		25.19	True
OncotreeLineage	Pleura	USE_40072	7	0.3069442887869446	1.7562897900441645e-49	MYC	584		23.331	True
OncotreePrimaryDisease	Pleural Mesothelioma	USE_40072	10	0.4097837165459518	4.9279549251614e-70	MYC	584		23.331	True
line	NCIH510	USE_941	8	0.5253696098216865	0.0	HPCAL4	16		22.359	True
line	NCIH510	USE_942	11	0.5394030488721131	0.0	PPIE	21		22.359	True
line	HCC95	USE_6807	15	0.595775475729661	0.0	CAT	16		21.305	True
line	NCIH510	USE_949	13	0.5406071351727764	0.0	TRIT1	21		21.243	True
line	NCIH510	USE_950	9	0.5254996277218403	0.0	TRIT1	15		21.243	True
line	HCC95	USE_6833	6	0.5557613096380314	0.0	CD44	52		20.924	True
line	HCC95	USE_6835	1	0.460797979564859	0.0	CD44	27		20.924	True
line	HCC95	USE_6834	5	0.5543297180854334	0.0	CD44	44		20.924	True
line	NCIH526	USE_20421	14	0.5224453780266544	0.0	NBAS	73		20.387	True
line	NCIH526	USE_20419	3	0.4414327828436488	0.0	NBAS	20		20.387	True
line	NCIH526	USE_20418	5	0.4702020754065519	0.0	NBAS	26		20.387	True
line	NCIH526	USE_20422	15	0.5257507435890283	0.0	NBAS	74		20.387	True
line	NCIH526	USE_20409	4	0.4668148029630584	0.0	NBAS	236		20.387	True
line	NCIH526	USE_20410	6	0.4769473477349604	0.0	NBAS	233		20.387	True
line	NCIH526	USE_20425	2	0.4379459910737705	0.0	DDX1	65		20.387	True
line	MCF7	USE_17298	6	0.5979306337939352	1.4906972954548473e-239	BRIP1	47		20.145	True
line	HARA	USE_6833	11	0.5634073545525358	0.0	CD44	52		20.137	True
line	HARA	USE_6834	10	0.560969875458954	0.0	CD44	44		20.137	True
line	HARA	USE_6835	4	0.505111998682628	0.0	CD44	27		20.137	True
OncotreeSubtype	Medulloblastoma, Group 3	USE_12459	11	0.2840339144988846	0.0	OTX2	88		19.884	True
OncotreeSubtype	Medulloblastoma, Group 3	USE_12457	9	0.2685129402892552	0.0	OTX2	0		19.884	True
line	HCC1954	USE_16743	1	0.5507021365144068	0.0	CDK12	20		19.629	True
line	HCC95	USE_6800	14	0.5957465875584533	0.0	NAT10	54		19.264	True
line	HCC95	USE_6805	10	0.581658051922693	0.0	CAT	59		19.264	True
line	HCC95	USE_6855	2	0.526544620372918	0.0	FJX1	52		19.143	True
OncotreeLineage	CNS/Brain	USE_40021	12	0.26668496082727	7.819320947098385e-118	MYC	92		18.979	True
line	HS746T	USE_37348	6	0.5326195125668469	4.381620530237519e-56	WNT2	22		18.628	True
line	KURAMOCHI	USE_8930	4	0.4966010199165537	0.0	SOX5	289		18.567	True
line	KURAMOCHI	USE_8940	14	0.5599160963627374	0.0	SOX5	261		18.567	True
line	KURAMOCHI	USE_8937	3	0.4828774078783152	0.0	SOX5	152		18.567	True
line	KURAMOCHI	USE_8928	1	0.4738607857404932	0.0	SOX5	301		18.567	True
line	KURAMOCHI	USE_8942	12	0.5513159307760291	0.0	BCAT1	396		18.567	True
line	KURAMOCHI	USE_8929	2	0.4820869969963784	0.0	SOX5	292		18.567	True
line	LPS141	USE_9832	13	0.5938498625238245	3.0215884105985413e-139	TRHDE	85		18.09	True
line	HARA	USE_6843	12	0.5654185790437005	0.0	SLC1A2	60		17.332	True
line	HARA	USE_6844	8	0.5572869033807355	0.0	SLC1A2	59		17.332	True
line	HCC827	USE_33320	8	0.5834994590768805	3.21594645837483e-310	ADTRP	50		17.262	True
line	NCIH1975	USE_40059	5	0.6054046098690915	2.825107648033296e-108	MYC	444		17.254	True
line	NCIH1975	USE_40065	7	0.6068386436759627	2.895796938969053e-104	MYC	523		17.254	True
line	NCIH1975	USE_40064	9	0.6094492602217859	3.713133217162059e-97	MYC	519		17.254	True
line	NCIH1975	USE_40066	13	0.619785588827997	1.69594861937243e-71	MYC	531		17.254	True
line	NCIH1975	USE_40052	6	0.606003084697577	1.3617644004228695e-106	MYC	338		17.254	True
line	HCC95	USE_6828	9	0.5810053896642653	0.0	PDHX	72		17.193	True
line	UPCISCC152	USE_41445	4	0.5133076865626864	0.0	TRMO	7		16.763	True
line	UPCISCC152	USE_41444	1	0.3922887894812783	0.0	TRMO	25		16.763	True
line	UPCISCC152	USE_41443	5	0.5755911197223159	0.0	FOXE1	26		16.763	True
line	5637	USE_33551	1	0.5114171037382982	0.0	SOX4	69		16.76	True
line	5637	USE_33547	8	0.55335489955911	0.0	SOX4	38		16.76	True
line	5637	USE_33546	2	0.5124986050185665	0.0	SOX4	19		16.76	True
line	5637	USE_33552	14	0.5809027999664138	1.0149520361171634e-235	SOX4	146		16.76	True
line	5637	USE_33553	11	0.5686784042357906	4.681794092194263e-295	SOX4	172		16.76	True
line	5637	USE_33550	5	0.5370405798329732	0.0	SOX4	75		16.76	True
line	5637	USE_33556	4	0.5216108860422004	0.0	SOX4	244		16.76	True
line	5637	USE_33549	3	0.5216070272885199	0.0	SOX4	64		16.76	True
line	5637	USE_33558	7	0.5386960948946009	0.0	SOX4	260		16.76	True
line	HCC95	USE_6857	3	0.5418248346538225	0.0	FJX1	0		16.71	True
OncotreePrimaryDisease	Esophagogastric Adenocarcinoma	USE_6126	12	0.4176766294723609	1.9343589427796929e-81	FGFR2	64		16.683	True
OncotreePrimaryDisease	Esophagogastric Adenocarcinoma	USE_6120	5	0.3835352535313356	1.352675209192097e-108	FGFR2	14		16.683	True
OncotreePrimaryDisease	Esophagogastric Adenocarcinoma	USE_6121	8	0.4105937600955033	9.381697263687117e-87	FGFR2	13		16.683	True
OncotreePrimaryDisease	Esophagogastric Adenocarcinoma	USE_6125	11	0.4169159413814841	5.2616539282058177e-82	FGFR2	58		16.683	True
