ncit_code	n_support	lineage_purity	lineage	primary_disease	subtype	oncotree_code
C8183	2	1.00	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma	OCSC
C82217	5	1.00	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma	Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL)	NKCLL
C82426	2	1.00	Myeloid	Acute Myeloid Leukemia	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	AMLGATA2MECOM
C8263	7	1.00	Myeloid	Acute Myeloid Leukemia	Acute Monoblastic/Monocytic Leukemia	AMOL
C8294	22	1.00	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	PAAD
C8303	2	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C8398	1	1.00	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma	STAD
C8459	1	1.00	Lymphoid	Mature T and NK Neoplasms	Hepatosplenic T-cell Lymphoma	HSTCL
C8460	1	1.00	Myeloid	Acute Myeloid Leukemia	AML with Minimal Differentiation	AMLMD
C8644	4	1.00	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	BLL
C8715	6	1.00	Kidney	Rhabdoid Cancer	Rhabdoid Cancer	MRT
C8851	13	1.00	Lymphoid	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS	DLBCLNOS
C8923	3	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C8971	9	0.78	Soft Tissue	Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma	ERMS
C8973	1	1.00	Uterus	Uterine Sarcoma/Mesenchymal	Endometrial Stromal Sarcoma	ESS
C9039	2	1.00	Cervix	Mixed Cervical Carcinoma	Mixed Cervical Carcinoma	MCCE
C9110	4	1.00	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+	CMLBCRABL1
C9120	28	1.00	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	PAAD
C9133	6	1.00	Lung	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	LUAS
C9140	17	1.00	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	BLL
C9142	8	1.00	Lymphoid	Mature T and NK Neoplasms	Adult T-Cell Leukemia/Lymphoma	ATLL
C9143	5	1.00	Lymphoid	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS	DLBCLNOS
C9145	20	1.00	Bone	Osteosarcoma	Osteosarcoma	OS
C9154	17	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C9160	2	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C9163	2	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C9167	1	1.00	Biliary Tract	Intracholecystic Papillary Neoplasm	Gallbladder Cancer	GBC
C9231	8	1.00	Skin	Merkel Cell Carcinoma	Merkel Cell Carcinoma	MCC
C9280	1	1.00	Lymphoid	Mature B-Cell Neoplasms	Primary Mediastinal (Thymic) Large B-Cell Lymphoma (PMBL)	PMBL
C9296	1	1.00	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Adenocarcinoma of the Gastroesophageal Junction	GEJ
C9325	2	1.00	Adrenal Gland	Adrenocortical Carcinoma	Adrenocortical Carcinoma	ACC
C9357	8	1.00	Lymphoid	Hodgkin Lymphoma	Hodgkin Lymphoma	HL
C9360	1	1.00	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	BLL
C9381	1	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C9383	16	1.00	Bowel	Colorectal Adenocarcinoma	Rectal Adenocarcinoma	READ
C9385	26	1.00	Kidney	Renal Cell Carcinoma	Renal Cell Carcinoma	RCC
C94764	1	1.00	CNS/Brain	Diffuse Glioma	Diffuse Intrinsic Pontine Glioma	DIPG
C9477	5	1.00	CNS/Brain	Diffuse Glioma	Anaplastic Astrocytoma	AASTR
C95595	1	1.00	Pancreas	Pancreatic Neuroendocrine Tumor	Pancreatic Neuroendocrine Tumor	PANET
C95749	1	1.00	Other	Extra Gonadal Germ Cell Tumor	Extra Gonadal Germ Cell Tumor	EGCT
C96157	1	1.00	Bowel	Gastrointestinal Neuroendocrine Tumors	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum	HGNEC
C97074	1	1.00	Myeloid	Hereditary Spherocytosis	Spherocytosis	
C99055	1	1.00	Other	Extra Gonadal Germ Cell Tumor	Extra Gonadal Germ Cell Tumor	EGCT
