cvcl	cell_line	category	lineage	subtype	lineage_source	n_experiments	identity	data_status	cn_status	cn_from	tier	include	exclude_reason
CVCL_E5GE	DIPG-1114	Cancer cell line	CNS/Brain	Diffuse Intrinsic Pontine Glioma	cellosaurus_ncit	3	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_DR55	GSC11	Cancer cell line	CNS/Brain	Glioblastoma	cellosaurus_ncit	5	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_DR59	GSC23	Cancer cell line	CNS/Brain	Glioblastoma	cellosaurus_ncit	6	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_S506	HDMB03	Cancer cell line	CNS/Brain	Medulloblastoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_VU70	HSJD-DIPG-007	Cancer cell line	CNS/Brain	Diffuse Intrinsic Pontine Glioma	depmap	2	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
CVCL_0378	KNS-42	Cancer cell line	CNS/Brain	Glioblastoma	depmap	6	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0393	LN-229	Cancer cell line	CNS/Brain	Glioblastoma	depmap	9	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0394	LN-308	Cancer cell line	CNS/Brain	Glioblastoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_VU79	MB002	Cancer cell line	CNS/Brain	Medulloblastoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_X914	NCH644	Cancer cell line	CNS/Brain	Glioblastoma	cellosaurus_ncit	2	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_3154	RERF-LC-OK	Cancer cell line	CNS/Brain	Astrocytoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix,CMP	B	1	
CVCL_1690	SF-295	Cancer cell line	CNS/Brain	Glioblastoma	depmap	2	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1689	SF268	Cancer cell line	CNS/Brain	Astrocytoma	depmap	4	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1691	SF539	Cancer cell line	CNS/Brain	Gliosarcoma	depmap	2	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_IT46	SF8628	Cancer cell line	CNS/Brain	Diffuse Intrinsic Pontine Glioma	cellosaurus_ncit	4	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix	B	1	
CVCL_E5GC	SF9427	Cancer cell line	CNS/Brain	Glioblastoma	cellosaurus_ncit	2	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_0535	SNB-19	Cancer cell line	CNS/Brain	Astrocytoma	depmap	2	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
