srx	cell_class	cell	cvcl	model_id	lineage	subtype	has_cn	has_dep	qc_pass	reads	pct_mapped	pct_dup	n_peaks
SRX1734378	Prostate	22Rv1	CVCL_1045	ACH-000956	Prostate	Prostate Adenocarcinoma	1	1	1	36996731	98.3	9.8	43199
SRX1735804	Blood	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia	1	1	1	43106788	98.0	3.5	25358
SRX1735812	Blood	MV-4-11	CVCL_0064	ACH-000045	Myeloid	Acute Myeloid Leukemia	1	1	1	53245492	98.8	8.6	47793
SRX17360378	Others	Tumor					0	0	1	33080674	97.0	16.8	27412
SRX17360379	Others	Tumor					0	0	1	27010411	96.6	15.3	15891
SRX17360380	Others	Tumor					0	0	1	32187948	96.7	15.1	24559
SRX17360381	Others	Tumor					0	0	1	28594426	96.5	15.6	23878
SRX17360382	Unclassified	Unclassified					0	0	1	32886869	97.9	10.9	21755
SRX17360383	Unclassified	Unclassified					0	0	1	16741950	96.9	10.5	12926
SRX17360384	Others	Tumor					0	0	1	24981090	97.8	11.4	18310
SRX17360385	Unclassified	Unclassified					0	0	1	22546379	97.7	11.1	17126
SRX17360386	Unclassified	Unclassified					0	0	1	71440765	97.5	17.2	39606
SRX17360387	Others	Tumor					0	0	1	31031123	97.3	18.9	16772
SRX17360388	Unclassified	Unclassified					0	0	1	61744508	97.4	19.4	20691
SRX17360389	Others	Tumor					0	0	1	34828370	96.1	21.4	15040
SRX17360390	Unclassified	Unclassified					0	0	1	17421005	97.5	21.0	11779
SRX17360391	Unclassified	Unclassified					0	0	1	58014057	97.4	20.6	23842
SRX17360392	Unclassified	Unclassified					0	0	1	67097469	97.0	21.3	14743
SRX17360393	Others	Tumor					0	0	1	50958214	96.4	24.0	14142
SRX17360394	Others	Tumor					0	0	1	82039260	92.4	10.5	44614
SRX17360395	Others	Tumor					0	0	1	41887482	94.5	13.6	29415
SRX17360396	Others	Tumor					0	0	1	18257367	94.6	16.2	10661
SRX17360397	Others	Tumor					0	0	1	37720294	95.2	14.1	47390
SRX17360398	Others	Tumor					0	0	1	37548156	95.0	14.6	40140
SRX17360399	Others	Tumor					0	0	1	30715485	94.7	12.9	27078
SRX17360400	Others	Tumor					0	0	1	51321886	92.0	14.5	27538
SRX17360401	Others	Tumor					0	0	1	28714340	95.6	15.7	20286
SRX17360402	Others	Tumor					0	0	1	40814713	97.5	13.1	19934
SRX17360403	Unclassified	Unclassified					0	0	1	46228476	98.0	9.1	19303
SRX17360404	Others	Tumor					0	0	1	42001272	97.2	9.0	27055
SRX17360405	Unclassified	Unclassified					0	0	1	85115900	97.9	10.9	39181
SRX17360406	Unclassified	Unclassified					0	0	1	62874147	97.2	9.8	26937
SRX17360407	Others	Tumor					0	0	1	61982393	96.7	9.7	37787
SRX17360408	Unclassified	Unclassified					0	0	1	40792911	97.1	10.4	34657
SRX17360409	Unclassified	Unclassified					0	0	1	36513150	97.8	10.1	29470
SRX17360410	Others	Tumor					0	0	1	33598498	97.6	11.2	15465
SRX17360411	Others	Tumor					0	0	1	27734215	97.5	7.6	16399
SRX17360412	Others	Tumor					0	0	1	36360162	97.4	10.0	19622
SRX17360413	Others	Tumor					0	0	1	29914715	97.4	8.8	24497
SRX17360414	Unclassified	Unclassified					0	0	1	30963078	85.9	10.8	24416
