srx	cell	cvcl	model_id	lineage	subtype
SRX4564975	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX4582714	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX4582715	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX4582716	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX4582717	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX4582718	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX4582719	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX4607464	22Rv1	CVCL_1045	ACH-000956	Prostate	Prostate Adenocarcinoma
SRX4607465	22Rv1	CVCL_1045	ACH-000956	Prostate	Prostate Adenocarcinoma
SRX4607466	22Rv1	CVCL_1045	ACH-000956	Prostate	Prostate Adenocarcinoma
SRX4607467	22Rv1	CVCL_1045	ACH-000956	Prostate	Prostate Adenocarcinoma
SRX4607468	22Rv1	CVCL_1045	ACH-000956	Prostate	Prostate Adenocarcinoma
SRX4645309	SUIT-2	CVCL_3172	ACH-000652	Pancreas	Pancreatic Adenocarcinoma
SRX4645311	AsPC-1	CVCL_0152	ACH-000222	Pancreas	Pancreatic Adenocarcinoma
SRX4645315	PA-TU-8988S	CVCL_1846	ACH-000022	Pancreas	Pancreatic Adenocarcinoma
SRX4645317	SUIT-2	CVCL_3172	ACH-000652	Pancreas	Pancreatic Adenocarcinoma
SRX4645319	AsPC-1	CVCL_0152	ACH-000222	Pancreas	Pancreatic Adenocarcinoma
SRX4645323	PA-TU-8988S	CVCL_1846	ACH-000022	Pancreas	Pancreatic Adenocarcinoma
SRX4645325	MIA Paca-2	CVCL_0428	ACH-000601	Pancreas	Pancreatic Adenocarcinoma
SRX4666810	MEC-1	CVCL_1870	ACH-000405	Lymphoid	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma
SRX4704624	RMG-I	CVCL_1662	ACH-000719	Ovary/Fallopian Tube	Clear Cell Ovarian Cancer
SRX4704625	RMG-I	CVCL_1662	ACH-000719	Ovary/Fallopian Tube	Clear Cell Ovarian Cancer
SRX4720616	G-401	CVCL_0270	ACH-000096	Kidney	Rhabdoid Cancer
